Difficult staying contact with childrenb,N,Percent,Percent of Cases
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice My children and I do not have a good relationship,16,1.60%,3.50%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The prison is too far away,171,17.60%,37.80%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Caregiver has a criminal record and is not allowed to participate in video or in person visits,63,6.50%,13.90%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice I do not want my children to see me in prison,55,5.70%,12.20%
"Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice IDOC rules prevent them from visiting (dress code, number of visitors, visitation hours)",26,2.70%,5.80%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Mail takes too long to exchange letters,64,6.60%,14.20%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Registration system is too complicated,55,5.70%,12.20%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice I have difficulty adding phone numbers to contact them due to IDOC rules,15,1.50%,3.30%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Their caregiver does not allow or limits contact,131,13.50%,29.00%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice They don't have transportation to visit,99,10.20%,21.90%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The video system/GTL is too complicated,120,12.30%,26.50%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Something else (specify),54,5.50%,11.90%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice None of these apply to me,104,10.70%,23.00%
