Case Processing Summary,,,,,,
,Cases,,,,,
,Valid,,Missing,,Total,
,N,Percent,N,Percent,N,Percent
What is your race or ethnicity? Check one.,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
These options don't represent all races and ethnicities. They were chosen so the researchers will not be able to personally identify you. * Who is caring for your children under 18? Select all that apply. - Selected Choice Child's other parent or step parent,227,36.40%,397,63.60%,624,100.00%
What is your race or ethnicity? Check one.,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
These options don't represent all races and ethnicities. They were chosen so the researchers will not be able to personally identify you. * Who is caring for your children under 18? Select all that apply. - Selected Choice Child's grandparent,256,41.00%,368,59.00%,624,100.00%
What is your race or ethnicity? Check one.,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
These options don't represent all races and ethnicities. They were chosen so the researchers will not be able to personally identify you. * Who is caring for your children under 18? Select all that apply. - Selected Choice Other relatives,156,25.00%,468,75.00%,624,100.00%
What is your race or ethnicity? Check one.,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
These options don't represent all races and ethnicities. They were chosen so the researchers will not be able to personally identify you. * Who is caring for your children under 18? Select all that apply. - Selected Choice My current partner,23,3.70%,601,96.30%,624,100.00%
What is your race or ethnicity? Check one.,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
These options don't represent all races and ethnicities. They were chosen so the researchers will not be able to personally identify you. * Who is caring for your children under 18? Select all that apply. - Selected Choice Friends,13,2.10%,611,97.90%,624,100.00%
What is your race or ethnicity? Check one.,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
These options don't represent all races and ethnicities. They were chosen so the researchers will not be able to personally identify you. * Who is caring for your children under 18? Select all that apply. - Selected Choice Foster parent/foster home,109,17.50%,515,82.50%,624,100.00%
What is your race or ethnicity? Check one.,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
These options don't represent all races and ethnicities. They were chosen so the researchers will not be able to personally identify you. * Who is caring for your children under 18? Select all that apply. - Selected Choice Other (specify),62,9.90%,562,90.10%,624,100.00%
What is your race or ethnicity? Check one.,,,,,,
,,,,,,
 ,,,,,,
,,,,,,
These options don't represent all races and ethnicities. They were chosen so the researchers will not be able to personally identify you. * Are any of your children under age 18 currently engaged with the Department of Children and Family Services (DCFS)?,614,98.40%,10,1.60%,624,100.00%
