Difficult staying contact with children,N,Percent,Percent of Cases
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice My children and I do not have a good relationship,3,7.30%,15.80%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The prison is too far away,4,9.80%,21.10%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Caregiver has a criminal record and is not allowed to participate in video or in person visits,2,4.90%,10.50%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice I do not want my children to see me in prison,4,9.80%,21.10%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Mail takes too long to exchange letters,2,4.90%,10.50%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Registration system is too complicated,4,9.80%,21.10%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice I have difficulty adding phone numbers to contact them due to IDOC rules,1,2.40%,5.30%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Their caregiver does not allow or limits contact,9,22.00%,47.40%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice They don't have transportation to visit,2,4.90%,10.50%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The video system/GTL is too complicated,3,7.30%,15.80%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Something else (specify),3,7.30%,15.80%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice None of these apply to me,4,9.80%,21.10%
