Difficult staying contact with children,N,Percent,Percent of Cases
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice My children and I do not have a good relationship,2,1.50%,3.40%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The prison is too far away,26,19.70%,44.10%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Caregiver has a criminal record and is not allowed to participate in video or in person visits,6,4.50%,10.20%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice I do not want my children to see me in prison,4,3.00%,6.80%
"Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice IDOC rules prevent them from visiting (dress code, number of visitors, visitation hours)",2,1.50%,3.40%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Mail takes too long to exchange letters,9,6.80%,15.30%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Registration system is too complicated,5,3.80%,8.50%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice I have difficulty adding phone numbers to contact them due to IDOC rules,4,3.00%,6.80%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Their caregiver does not allow or limits contact,19,14.40%,32.20%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice They don't have transportation to visit,13,9.80%,22.00%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The video system/GTL is too complicated,16,12.10%,27.10%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Something else (specify),14,10.60%,23.70%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice None of these apply to me,12,9.10%,20.30%
