Difficult staying contact with children,N,Percent,Percent of Cases
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice My children and I do not have a good relationship,3,1.10%,2.40%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The prison is too far away,54,20.40%,42.90%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Caregiver has a criminal record and is not allowed to participate in video or in person visits,16,6.00%,12.70%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice I do not want my children to see me in prison,14,5.30%,11.10%
"Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice IDOC rules prevent them from visiting (dress code, number of visitors, visitation hours)",11,4.20%,8.70%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Mail takes too long to exchange letters,14,5.30%,11.10%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Registration system is too complicated,13,4.90%,10.30%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice I have difficulty adding phone numbers to contact them due to IDOC rules,4,1.50%,3.20%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Their caregiver does not allow or limits contact,40,15.10%,31.70%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice They don't have transportation to visit,30,11.30%,23.80%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The video system/GTL is too complicated,26,9.80%,20.60%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Something else (specify),11,4.20%,8.70%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice None of these apply to me,29,10.90%,23.00%
