Difficult staying contact with children,N,Percent,Percent of Cases
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice My children and I do not have a good relationship,10,2.80%,6.30%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The prison is too far away,51,14.10%,32.30%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Caregiver has a criminal record and is not allowed to participate in video or in person visits,25,6.90%,15.80%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice I do not want my children to see me in prison,27,7.50%,17.10%
"Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice IDOC rules prevent them from visiting (dress code, number of visitors, visitation hours)",8,2.20%,5.10%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Mail takes too long to exchange letters,29,8.00%,18.40%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Registration system is too complicated,26,7.20%,16.50%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice I have difficulty adding phone numbers to contact them due to IDOC rules,5,1.40%,3.20%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Their caregiver does not allow or limits contact,52,14.40%,32.90%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice They don't have transportation to visit,35,9.70%,22.20%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The video system/GTL is too complicated,40,11.00%,25.30%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Something else (specify),24,6.60%,15.20%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice None of these apply to me,30,8.30%,19.00%
