Difficult staying contact with children,N,Percent,
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice My children and I do not have a good relationship,27,2.00%,4.40%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The prison is too far away,236,17.60%,38.20%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Caregiver has a criminal record and is not allowed to participate in video or in person visits,80,6.00%,13.00%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice I do not want my children to see me in prison,73,5.40%,11.80%
"Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice IDOC rules prevent them from visiting (dress code, number of visitors, visitation hours)",39,2.90%,6.30%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Mail takes too long to exchange letters,92,6.90%,14.90%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Registration system is too complicated,78,5.80%,12.60%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice I have difficulty adding phone numbers to contact them due to IDOC rules,19,1.40%,3.10%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Their caregiver does not allow or limits contact,197,14.70%,31.90%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice They don't have transportation to visit,127,9.50%,20.60%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice The video system/GTL is too complicated,153,11.40%,24.80%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice Something else (specify),91,6.80%,14.70%
Have any of the following made it difficult to stay in contact with your children? Select all that apply. - Selected Choice None of these apply to me,128,9.60%,20.70%
