,N,%,Grouped
Experienced ANY -pTBI symptoms ,652,87%,
Headaches,539,72%,Reported Symtoms
Dizziness or balance problems,403,53.80%,Reported Symtoms
Tiredness or fatigue,408,54.50%,Reported Symtoms
Problems paying attention or concentrating,429,57.30%,Reported Symtoms
Being sensitive to bright lights or loud noises,344,45.90%,Reported Symtoms
Increased feelings of depression or anxiety,431,57.50%,Reported Symtoms
Seizures,98,13.10%,Reported Symtoms
Difficulty sleeping,396,52.90%,Reported Symtoms
Clumsiness,237,31.60%,Reported Symtoms
Persistent head or neck pain,336,44.90%,Reported Symtoms
Problems speaking or understanding speech,114,15.20%,Reported Symtoms
Feelings of irritability or a short temper not present before the injury,291,38.90%,Reported Symtoms
Memory issues,382,51%,Reported Symtoms
