,N,%,Grouped
Experienced ANY -pTBI symptoms ,652,87%,
Headaches,539,72%,Reported Symptoms
Dizziness or balance problems,403,53.80%,Reported Symptoms
Tiredness or fatigue,408,54.50%,Reported Symptoms
Problems paying attention or concentrating,429,57.30%,Reported Symptoms
Being sensitive to bright lights or loud noises,344,45.90%,Reported Symptoms
Increased feelings of depression or anxiety,431,57.50%,Reported Symptoms
Seizures,98,13.10%,Reported Symptoms
Difficulty sleeping,396,52.90%,Reported Symptoms
Clumsiness,237,31.60%,Reported Symptoms
Persistent head or neck pain,336,44.90%,Reported Symptoms
Problems speaking or understanding speech,114,15.20%,Reported Symptoms
Feelings of irritability or a short temper not present before the injury,291,38.90%,Reported Symptoms
Memory issues,382,51%,Reported Symptoms
